name,description,status,paper,Github
CB-VQE (PennyLane),"Enhances standard VQEs by performing a classical post-processing step that projects the molecular Hamiltonian onto a two-dimensional subspace spanned by the Hartree-Fock reference state and the VQE-optimized state. It then solves the generalized eigenvalue problem to guarantee a lower or equal energy compared to VQE, while requiring only Hadamard test circuits to compute cross-terms. This is valuable for near-term quantum devices where circuit depth and noise are limited.",Not Implemented Yet,None written,https://www.pennylane.ai/qml/demos/tutorial_classically_boosted_vqe/
NN-VQA,"Uses neural-network-encoded variational quantum algorithms to address the challenges of implementing VQAs on NISQ devices.",Not Implemented Yet,https://doi.org/10.1103/PhysRevApplied.21.014053,https://github.com/Miao-JQ/NN-VQA
CS-VQE,"A hybrid algorithm that reduces the number of qubits needed to achieve chemical accuracy. It works by mathematically dividing a molecule's energy calculation into a classical portion that is easily solved on a regular computer and a strictly quantum portion, called the contextual subspace. VQE is then run only on the contextual subspace.",Not Implemented Yet,https://quantum-journal.org/papers/q-2021-05-14-456/,https://github.com/wmkirby1/ContextualSubspaceVQE
iQCC,"Uses constant-depth, shallow quantum circuits that are iteratively updated through canonical transformations of the Hamiltonian on a classical computer. iQCC significantly reduces circuit depth, making it less prone to errors on NISQ devices.",Not Implemented Yet,https://pubs.acs.org/doi/10.1021/acs.jctc.9b01084,https://github.com/sandbox-quantum/Tangelo-Examples/blob/main/examples/variational_methods/iqcc_using_clifford.ipynb
VAns,"A variational ansatz architecture search method that adaptively builds quantum circuits by adding, removing, and optimizing gates. It aims to find compact, problem-suitable ansatz circuits rather than relying on a fixed ansatz structure.",Not Implemented Yet,https://arxiv.org/abs/2103.06712,https://github.com/matibilkis/qvans
Hamiltonian Variational Ansatz,"A physics-informed ansatz that turns the structure of a molecular Hamiltonian into a quantum circuit by partitioning Hamiltonian terms into commuting groups and implementing time-evolution operators for each group. It mirrors the problem Hamiltonian, leading to fewer variational parameters while maintaining strong expressibility for ground-state preparation. This can reduce landscape complexity, improve trainability, and guide ansatz design.",Not Implemented Yet,None written,https://quantum.cloud.ibm.com/docs/en/api/qiskit/qiskit.circuit.library.hamiltonian_variational_ansatz
PennyLane VQE,"Implements a baseline VQE workflow in the PennyLane ecosystem. A parametrized circuit prepares a trial molecular state, the Hamiltonian expectation value is evaluated as the cost function, and a classical optimizer updates the circuit parameters to approximate the molecular ground-state energy. In our framework, this serves as a simple reference implementation for comparing more specialized ansatz constructions.",Implemented,https://doi.org/10.1038/ncomms5213,https://pennylane.ai/qml/demos/tutorial_vqe/
ADAPT-VQE,"Builds the ansatz adaptively rather than fixing the circuit structure in advance. At each outer-loop step, the algorithm evaluates gradients over an operator pool, selects the operator expected to recover the most correlation energy, appends it to the ansatz, and reoptimizes all variational parameters. This produces compact, molecule-tailored circuits but introduces additional gradient-screening and reoptimization overhead.",Implemented,https://doi.org/10.1038/s41467-019-10988-2,n/a
Qubit-ADAPT-VQE,"Uses the ADAPT-VQE growth strategy with a qubit-operator pool, typically based on Pauli-string generators rather than fermionic excitation operators. This makes the ansatz more hardware-oriented and can reduce circuit depth relative to fermionic ADAPT constructions, especially after qubit-space reductions where the original orbital structure is no longer directly meaningful.",Implemented,https://doi.org/10.1103/PRXQuantum.2.020310,n/a
Hardware-Efficient VQE,"Uses shallow, hardware-oriented layers of parametrized single-qubit rotations and entangling gates. In our implementation, the ansatz consists of repeated Ry rotation layers and CNOT entangling layers. This design is easy to scale across qubit counts and is well suited for noise and barren-plateau diagnostics, but it is less chemically structured than UCC- or ADAPT-style ansätze.",Implemented,https://doi.org/10.1038/nature23879,n/a
iQCC-Inspired VQE,"Uses an ADAPT-style architecture with an operator pool motivated by iterative qubit coupled cluster methods. Unlike a full iQCC implementation, this variant should be described as repository-specific unless the final code can be traced to a published implementation. It is included to test whether iQCC-like qubit generators improve trainability or accuracy when used inside an adaptive VQE growth loop.",Implemented,https://doi.org/10.1021/acs.jctc.9b01084,n/a
